,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b0032': 0.25, 'b3567': 0, 'b2167': 0, 'b3417': 0, 'b1794': 0, 'b2746': 32, 'b3881': 0, 'b1189': 0, 'b4129': 0, 'b1771': 0.03125, 'b3666': 16, 'b4169': 0}",22,0.0053491611714002515,0.02662872591868278,2.0
1,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b2167': 0, 'b0340': 0, 'b1794': 0, 'b3881': 0, 'b0198': 0, 'b3417': 0, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b3857': 0, 'b0474': 0, 'b0350': 0, 'b4169': 0}",24,0.0,0.008852321808272442,2.9166666666666665
2,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b0340': 0, 'b2167': 0, 'b1794': 0, 'b3881': 0, 'b3417': 0, 'b2746': 32, 'b2942': 0.125, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b3857': 0, 'b0350': 0, 'b4169': 0}",24,0.0018430477432259413,0.6468196182891041,2.5833333333333335
3,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b0340': 0, 'b2167': 0, 'b3417': 0, 'b0198': 0, 'b3881': 0, 'b1794': 0, 'b3639': 0.125, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b0474': 0, 'b0350': 0, 'b4169': 0}",24,0.0,0.5999409251790495,2.7916666666666665
4,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 32, 'b0074': 0.25, 'b2167': 0, 'b3417': 0, 'b0340': 0, 'b2746': 32, 'b0198': 0, 'b3881': 0, 'b2877': 16, 'b1189': 0, 'b4129': 0, 'b0474': 2, 'b2942': 0.25, 'b3857': 16}",24,0.0038385325134478628,0.5548949843735668,1.625
5,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b0340': 0, 'b2746': 32, 'b3417': 0, 'b3881': 0, 'b1794': 0, 'b0198': 0, 'b0261': 0, 'b1992': 0, 'b4129': 0, 'b3857': 0, 'b1189': 0, 'b2942': 0.5, 'b4169': 0}",24,0.004723709693802832,0.3937109691107135,2.5833333333333335
6,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b0340': 0, 'b2167': 0, 'b3417': 0, 'b3881': 0, 'b0198': 0, 'b2746': 32, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b3857': 0, 'b0474': 0, 'b0350': 0}",23,0.004603347684238518,0.02832200982781105,2.608695652173913
7,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2167': 0, 'b3417': 0, 'b2746': 32, 'b3881': 0, 'b0198': 0, 'b3870': 0.5, 'b2942': 0.25, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b3857': 0, 'b0032': 0.0625, 'b0474': 2, 'b4169': 0}",24,0.0038482092209584473,0.5537367623621775,2.125
8,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2167': 0, 'b3417': 0, 'b0340': 0, 'b1794': 0, 'b2746': 32, 'b3870': 0.5, 'b3881': 0, 'b0261': 0, 'b1189': 32, 'b4129': 0, 'b3857': 0, 'b0032': 0.0625, 'b2942': 0.5, 'b1992': 0.0625}",24,0.0046948262207541416,0.39623229441517893,2.0
9,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b3567': 0, 'b0340': 0, 'b2167': 0, 'b3417': 0, 'b3881': 0, 'b0198': 0, 'b2746': 32, 'b0261': 0, 'b1189': 0, 'b4129': 0, 'b3857': 0, 'b0474': 0, 'b0350': 0, 'b4169': 0}",24,0.0046033476842385,0.028322009827807505,2.7083333333333335
