,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b1514': 0, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b3589': 0, 'b1621': 0, 'b2175': 0, 'b2803': 0, 'b1587': 0, 'b1638': 0, 'b3480': 0, 'b3212': 0, 'b3430': 0}",24,0.0,0.0064717946966967145,2.9166666666666665
1,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b1514': 0, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b1621': 0, 'b2175': 0, 'b2803': 0, 'b1587': 0, 'b1638': 0, 'b3480': 0, 'b3212': 0, 'b3430': 0}",23,0.0,0.006471794696696846,2.8260869565217392
2,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b1514': 0, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b3589': 0, 'b1621': 0, 'b2175': 0, 'b2803': 0, 'b1587': 0, 'b1638': 0, 'b3212': 0, 'b0131': 0.125, 'b3430': 0}",24,0.0,0.547199178622621,2.7916666666666665
3,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b2175': 0, 'b1621': 0, 'b1587': 0, 'b2803': 0, 'b1638': 0, 'b3480': 0, 'b3212': 0, 'b2843': 0, 'b0131': 0.125, 'b2530': 0.5, 'b3826': 0}",24,0.0,0.5471991809205119,2.6666666666666665
4,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b2175': 0, 'b1621': 0, 'b1587': 0, 'b2803': 0, 'b1638': 0, 'b3480': 0, 'b3212': 0, 'b2843': 0, 'b0131': 0.125, 'b3826': 0}",24,0.0,0.5471991786217563,2.7916666666666665
5,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1514': 0, 'b4032': 2, 'b4161': 0, 'b1467': 4, 'b1378': 2, 'b1621': 0, 'b2803': 0, 'b1587': 0, 'b2307': 2, 'b2530': 0.5, 'b0131': 0.125, 'b3430': 0}",22,0.0,0.5471991809203826,1.5454545454545454
6,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b4032': 2, 'b4161': 0, 'b1467': 4, 'b1805': 32, 'b1515': 0.03125, 'b2307': 2, 'b1589': 0.125, 'b2530': 0.5, 'b0131': 0.125, 'b3430': 0, 'b3059': 0}",22,0.0,0.5471991809203914,1.2727272727272727
7,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1378': 0, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b1621': 0, 'b2175': 0, 'b1587': 0, 'b2803': 0, 'b1638': 0, 'b3212': 0, 'b2530': 0.5, 'b0131': 0.125, 'b2843': 0, 'b0070': 0.5}",24,0.0,0.5471991809203328,2.5416666666666665
8,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1605': 0, 'b4161': 0, 'b3589': 0, 'b1748': 0, 'b1621': 0, 'b2175': 0, 'b1587': 0, 'b2803': 0, 'b1638': 0, 'b3212': 0, 'b2530': 0.5, 'b0131': 0.125, 'b1378': 8, 'b3430': 0}",24,0.0,0.5471991809203823,2.4583333333333335
9,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1605': 0, 'b4161': 0, 'b1748': 0, 'b1621': 0, 'b2175': 0, 'b1587': 0, 'b2803': 0, 'b1638': 0, 'b3480': 0, 'b1134': 0, 'b3212': 0, 'b2530': 0.5, 'b0131': 0.125, 'b3430': 0}",24,0.0,0.5471991809203083,2.6666666666666665
