,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b4070': 0, 'b0173': 32, 'b2222': 0, 'b0575': 0, 'b0306': 0, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b0072': 0.5, 'b2146': 0}",24,0.004694828219019223,0.3499066299163305,2.5833333333333335
1,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b2222': 0, 'b0173': 32, 'b1392': 0, 'b0575': 0, 'b0306': 0, 'b1095': 0, 'b2047': 0.125, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b2146': 0, 'b1008': 32}",26,0.005349161171398864,0.026628725918688204,2.576923076923077
2,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b2222': 0, 'b4070': 0, 'b1392': 0, 'b0575': 0, 'b0048': 0, 'b0306': 0, 'b4015': 0, 'b1095': 0, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b2146': 0, 'b1008': 0}",27,0.0,0.007243248861666889,3.1481481481481484
3,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0173': 32, 'b0575': 0, 'b2036': 4, 'b0306': 0, 'b3940': 0.125, 'b2788': 32, 'b1619': 0.125, 'b2222': 0.5, 'b0729': 0.5, 'b3236': 0.5, 'b2146': 0, 'b2903': 0.5, 'b0048': 0.25}",26,0.005261127660977591,0.026926965038997153,1.6923076923076923
4,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b4070': 0, 'b2222': 0, 'b1392': 0, 'b0575': 0, 'b0048': 0, 'b0306': 0, 'b4015': 0, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b2146': 0, 'b1008': 0}",26,0.0,0.0072432488617027455,3.076923076923077
5,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b2222': 0, 'b0173': 32, 'b0575': 0, 'b0306': 0, 'b4015': 0, 'b2036': 0, 'b2919': 0, 'b2788': 0, 'b0729': 0.5, 'b2320': 0.5, 'b3236': 0.5, 'b2146': 0, 'b2903': 0.5, 'b0048': 0.25}",27,0.005251957440379439,0.02695296118586542,2.4074074074074074
6,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b2222': 0, 'b0173': 32, 'b0115': 0, 'b1392': 0, 'b0575': 0, 'b0048': 0, 'b0306': 0, 'b2146': 0, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b0072': 0.5, 'b1008': 0}",27,0.004821362641906042,0.33941862956983476,2.8518518518518516
7,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b2222': 0, 'b0173': 32, 'b4070': 0, 'b1392': 0, 'b0575': 0, 'b0048': 0, 'b0306': 0, 'b1095': 0, 'b3940': 0, 'b2036': 0, 'b2788': 0, 'b2146': 0, 'b1008': 0}",27,0.005349161171398758,0.02662872591868608,2.962962962962963
8,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b2222': 0, 'b0173': 32, 'b0048': 0, 'b0115': 0.125, 'b1855': 4, 'b4015': 0, 'b2146': 16, 'b0306': 0, 'b0575': 0.125, 'b2788': 32, 'b3940': 0, 'b2036': 0, 'b0072': 0.5}",26,0.0048444272004539825,0.3414993465470782,1.9615384615384615
9,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b2715': 0, 'b1241': 0, 'b1676': 0, 'b0933': 0, 'b2222': 0, 'b4070': 0, 'b1392': 0, 'b0575': 0, 'b0048': 0, 'b0306': 0, 'b2146': 0, 'b3940': 0, 'b2036': 0, 'b0963': 0, 'b2788': 0, 'b0072': 0.5, 'b1008': 0}",27,0.0,0.3499066299163264,3.037037037037037
