,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b1469': 0, 'b1394': 0, 'b4035': 32, 'b2202': 0, 'b3517': 0, 'b2261': 0, 'b2954': 0.0625, 'b2705': 0.0625, 'b0583': 0.0625, 'b2747': 32, 'b0842': 8}",25,0.00534916117140065,0.02662872591841509,2.04
1,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2942': 0.5, 'b0595': 4, 'b1469': 0, 'b1394': 0, 'b2954': 0, 'b2705': 0, 'b3517': 0, 'b4244': 0, 'b4193': 0, 'b2320': 0.5, 'b3416': 0.125, 'b2747': 32, 'b1136': 0.5, 'b2836': 0.5}",28,0.004694828219019225,0.3962337495982071,2.3214285714285716
2,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b1469': 0, 'b2202': 0, 'b2954': 0, 'b1394': 0, 'b3517': 0, 'b3124': 0, 'b4244': 0, 'b2261': 0, 'b2320': 0, 'b4193': 0, 'b0842': 0, 'b0805': 0, '4CL3': 0, 'b2705': 0}",28,0.0,0.007242246446294043,3.2142857142857144
3,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b4035': 32, 'b3517': 0, 'b0805': 0.25, 'b2162': 2, 'b2705': 0.0625, 'b1855': 2, 'b2747': 32, 'b0842': 8, 'b2836': 0.5}",23,0.005345817761358813,0.026634360716045687,1.3478260869565217
4,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3885': 0, 'b1469': 0, 'b2202': 0, 'b2954': 0, 'b1394': 0, 'b3517': 0, 'b3124': 0, 'b4244': 0, 'b2552': 0, 'b2261': 0, 'b4193': 0, 'b0182': 0.5, 'b0842': 0, 'b0805': 0}",28,0.0,0.34990662991632787,3.107142857142857
5,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2710': 0.25, 'b1469': 0, 'b1394': 0, 'b3517': 0, 'b4244': 0, 'b2261': 0, 'b0842': 0, 'b1136': 0.125, 'b1589': 0.5, 'b0805': 0, 'b2747': 32}",25,0.005237905013717474,0.03068162225791489,2.44
6,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2942': 0.5, 'b1469': 0, 'b2202': 0, 'b2954': 0, 'b1394': 0, 'b3517': 0, 'b4244': 0, 'b2261': 0, 'b4193': 0, 'b0842': 0, 'b1136': 0.125, 'b0805': 0, 'b2747': 32, 'b2705': 0}",28,0.004298402672578794,0.3962332502523602,2.8214285714285716
7,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2942': 0.5, 'b3885': 0, 'b1469': 0, 'b2552': 0, 'b2261': 0, 'b4035': 0.125, 'b2954': 0.0625, 'b3115': 2, 'b2747': 32, 'b2705': 0}",24,0.0049163590745328785,0.3911265618349898,2.125
8,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b1469': 0, 'b1394': 0, 'b2954': 0, 'b3124': 0, 'b3517': 0, 'b4244': 0, 'b2261': 0, 'b2320': 0, 'b4193': 0, 'b0842': 0, 'b0805': 0, '4CL3': 0, 'b2705': 0}",27,0.0,0.007242246446333824,3.1481481481481484
9,"{'b0754': 4, 'b2600': 4, 'b1702': 4, 'b2935': 4, 'b0908': 4, 'b0388': 4, 'b2329': 4, 'b3281': 4, 'b1693': 4, 'b3389': 4, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2942': 0.5, 'b1469': 0, 'b2202': 0, 'b1394': 0, 'b3517': 0, 'b4244': 0, 'b2261': 0, 'b4193': 0, 'b0842': 0, 'b1136': 0.125, 'b0805': 0, 'b2747': 32, 'b2954': 0.03125, 'b2705': 0}",28,0.004298407381340075,0.39622880329032273,2.7142857142857144
