,Modification,Size,BPCY,WYIELD,ModificationType
0,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b0934': 0, 'b1391': 0, 'b0650': 0, 'b3571': 0.0625}",19,0.005506110001297908,0.0268242840606757,1.9473684210526316
1,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b2530': 0.125, 'b1329': 0, 'b3456': 0, 'b2675': 0, 'b3610': 0, 'b2262': 0, 'b1391': 0, 'b0934': 0, 'b3941': 0.125, 'b0650': 0, 'b2904': 0.125, 'b1488': 0, 'b2179': 0.5}",28,0.0028370562150881623,0.6529958008053809,2.607142857142857
2,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b3124': 0, 'b1646': 0, 'b0078': 0, 'b3456': 0, 'b0158': 0, 'b1329': 0, 'b1392': 0, 'b2675': 0, 'b3610': 0, 'b0934': 0, 'b1391': 0, 'b0650': 0, 'b0722': 0, 'b1488': 0}",28,0.0,0.007541278187585071,3.2142857142857144
3,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b2247': 4, 'b0910': 2, 'b3608': 0.5, 'b2502': 0.25, 'b0650': 8}",20,0.005493668140398593,0.02687881303777907,1.2
4,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b1646': 0, 'b0078': 0, 'b3456': 0, 'b1329': 0, 'b0158': 0, 'b3917': 0, 'b3610': 0, 'b2262': 0, 'b0934': 0, 'b1391': 0, 'b0650': 0, 'b0133': 0.125, 'b1488': 0, 'b3941': 0.5}",28,0.0,0.6062342130950068,3.0
5,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b3610': 4, 'b2502': 2, 'b2904': 0.25, 'b2262': 0, 'b0934': 0, 'b1391': 0, 'b0910': 2, 'b0650': 0, 'b3787': 0, 'b0722': 0.125, 'b3608': 0.5, 'b1920': 0.0625, 'b2507': 0.25}",28,0.005226377326742507,0.027118596836598965,1.9642857142857142
6,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b0078': 0, 'b3456': 0, 'b1329': 0, 'b2458': 2, 'b3610': 0, 'b2262': 0, 'b3787': 0, 'b1391': 0, 'b0934': 0, 'b0650': 0, 'b3916': 0, 'b3870': 0.5, 'b1488': 16}",28,0.005166840802731763,0.349736086675502,2.5714285714285716
7,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b1646': 0, 'b0078': 0, 'b1329': 0, 'b0158': 0, 'b3456': 0, 'b3124': 0, 'b3610': 0, 'b0934': 0, 'b1391': 0, 'b2262': 0, 'b2147': 0, 'b0650': 0, 'b3941': 0.125}",28,0.0028370145986035787,0.6529940851121977,2.9285714285714284
8,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b2247': 4, 'b2262': 0, 'b1391': 0, 'b0650': 0, 'b2224': 0.125, 'b3870': 0.5, 'b3941': 0.5}",22,0.005134559861146538,0.39796076598440255,1.8636363636363635
9,"{'b0754': 2, 'b2600': 2, 'b1702': 2, 'b2935': 2, 'b0908': 2, 'b0388': 2, 'b2329': 2, 'b3281': 2, 'b1693': 2, 'b3389': 2, 'b1380': 0, 'b1241': 0, 'b1676': 0, 'b2715': 0, 'b2746': 32, 'b1646': 0, 'b3124': 0, 'b3456': 0, 'b1329': 0, 'b0078': 0, 'b2234': 0.25, 'b3610': 0, 'b2262': 0, 'b1391': 0, 'b0934': 0, 'b0650': 0, 'b2700': 0.125, 'b3941': 0.25}",28,0.004510019032266129,0.571015642859716,2.7142857142857144
